# 
# # The 1 sigma error on all flux measurements is 0.1
# 
# # Time [s], Flux event 0, Flux event 1, Flux event 2, Flux event 3, Flux event 4, Flux event 5, Flux event 6, Flux event 7, Flux event 8, Flux event 9
-5.00000e+01 4.53263e-01 -2.19139e-02 9.17320e-02 8.97810e-02 1.65213e-01 4.74920e-02 2.01064e-01 4.00395e-01 4.07285e-02 2.25889e-01
-4.90000e+01 6.15541e-01 5.56270e-02 4.02778e-02 9.01864e-04 -3.65543e-02 1.17990e-01 6.08269e-02 1.78592e-01 -3.21475e-02 3.98286e-02
-4.80000e+01 5.73954e-01 3.32182e-02 -4.69585e-02 2.16169e-01 -5.08152e-02 1.02166e-01 2.01516e-01 2.43563e-01 1.84837e-02 1.98826e-01
-4.70000e+01 6.26472e-01 3.97520e-02 4.81872e-03 -6.14638e-02 4.69118e-02 6.08528e-02 -2.45773e-02 1.00316e-01 1.07333e-01 9.85888e-02
-4.60000e+01 5.72511e-01 -1.10268e-02 1.62616e-02 3.98111e-02 -9.41341e-03 2.76771e-02 8.32652e-02 3.55038e-01 -4.70649e-02 4.13717e-01
-4.50000e+01 5.27646e-01 2.81109e-01 7.24771e-03 1.69047e-01 -4.22689e-02 2.40379e-01 9.10318e-02 1.70396e-01 1.08200e-01 2.51202e-01
-4.40000e+01 7.37788e-01 1.56192e-01 -1.20275e-01 -4.90965e-02 -1.45826e-01 -3.40069e-02 1.65543e-01 2.94738e-01 6.13353e-02 -9.14543e-02
-4.30000e+01 7.66009e-01 3.48596e-02 1.03676e-02 3.77122e-02 8.27447e-02 2.26815e-01 1.59772e-02 2.89051e-01 5.38619e-02 2.59622e-01
-4.20000e+01 8.81822e-01 2.75364e-01 2.37707e-03 -2.31400e-02 2.19536e-01 2.09310e-01 1.18532e-02 1.35783e-01 8.50412e-02 1.88504e-01
-4.10000e+01 9.32511e-01 -6.86353e-02 -8.93337e-02 2.93945e-02 5.94123e-02 6.35108e-02 6.08980e-02 1.26895e-01 1.43155e-01 1.89602e-01
-4.00000e+01 9.08169e-01 6.39827e-02 1.50760e-01 7.32316e-02 2.49352e-01 1.79371e-01 4.51971e-02 1.38740e-01 3.47760e-02 2.36593e-01
-3.90000e+01 8.70258e-01 -4.41057e-03 -9.13364e-02 -8.07508e-02 -9.05820e-02 8.21090e-02 -6.17635e-02 3.10611e-01 -4.02586e-02 9.98068e-02
-3.80000e+01 8.66197e-01 1.43217e-01 7.72402e-02 1.34362e-01 1.79013e-01 1.95979e-01 4.92208e-02 4.12573e-01 -3.27162e-02 3.55737e-01
-3.70000e+01 7.83872e-01 2.14557e-01 2.50180e-03 1.52780e-01 1.52821e-01 1.15931e-01 -1.43042e-03 2.47742e-01 1.10708e-01 3.14298e-01
