# amplitude duration logL logPrior
2.953762596468773438e+01 2.983099434868933386e+01 -1.054450397860036930e+06 -5.228481599920394629e+00
2.982712120636983855e+01 2.791129495687504658e+01 -9.890371619884646498e+05 -5.228481599920394629e+00
2.876338013014198935e+01 2.876306426127395355e+01 -9.354737799878662918e+05 -5.228481599920394629e+00
2.935374045860489645e+01 2.702387296426809016e+01 -9.056031554507539840e+05 -5.228481599920394629e+00
2.792696574069430682e+01 2.952859685493571362e+01 -8.961798578489513602e+05 -5.228481599920394629e+00
2.971698558489531905e+01 2.538012296970146053e+01 -8.555339411308948183e+05 -5.228481599920394629e+00
2.756319276584500244e+01 2.895043941668499343e+01 -8.417480764200954000e+05 -5.228481599920394629e+00
2.827194923591181208e+01 2.725525055835190358e+01 -8.278135256432280876e+05 -5.228481599920394629e+00
2.697040414419826959e+01 2.950623269660035675e+01 -8.151063304711234523e+05 -5.228481599920394629e+00
2.759140738788538627e+01 2.810304662478870341e+01 -8.093805006859246641e+05 -5.228481599920394629e+00
2.679118854974510455e+01 2.966314496993305383e+01 -8.064976531064504525e+05 -5.228481599920394629e+00
2.799463600498345173e+01 2.723607258579097845e+01 -8.050062346306327963e+05 -5.228481599920394629e+00
2.755260662842430719e+01 2.806729511401923460e+01 -8.048196243996521225e+05 -5.228481599920394629e+00
2.763964797579810906e+01 2.780739307636366320e+01 -8.010242057884703390e+05 -5.228481599920394629e+00
2.896438846027663416e+01 2.536864312664959797e+01 -7.966627579996557906e+05 -5.228481599920394629e+00
2.879508633247473526e+01 2.557549153610886350e+01 -7.933539961168338777e+05 -5.228481599920394629e+00
2.976042740394841246e+01 2.387222517348401496e+01 -7.841377907414450310e+05 -5.228481599920394629e+00
2.934988211018953663e+01 2.409586873047069844e+01 -7.650307014349723468e+05 -5.228481599920394629e+00
2.837139341200141729e+01 2.561970063785103946e+01 -7.634148766239485703e+05 -5.228481599920394629e+00
2.688579422664360408e+01 2.805027931594745993e+01 -7.520175312215407612e+05 -5.228481599920394629e+00
2.661894973932945874e+01 2.849821354979798471e+01 -7.486778218044475652e+05 -5.228481599920394629e+00
2.689018877647345107e+01 2.776963755748033336e+01 -7.414362715916730231e+05 -5.228481599920394629e+00
2.591459616532263510e+01 2.970934369710291634e+01 -7.384550250797311310e+05 -5.228481599920394629e+00
2.611114098016164320e+01 2.923280891157851258e+01 -7.366740158069797326e+05 -5.228481599920394629e+00
2.595582447666983583e+01 2.954747340694033042e+01 -7.359255952922218712e+05 -5.228481599920394629e+00
2.608452373710911587e+01 2.913364561453223089e+01 -7.310544780543583911e+05 -5.228481599920394629e+00
2.940319415723558549e+01 2.325353315791811681e+01 -7.281127956438758411e+05 -5.228481599920394629e+00
2.815130042678779532e+01 2.507793327125886407e+01 -7.233779075387333287e+05 -5.228481599920394629e+00
2.807728405141347494e+01 2.518991610345026544e+01 -7.229400725667314837e+05 -5.228481599920394629e+00
2.857205766591491169e+01 2.436136644539932306e+01 -7.214947837319287937e+05 -5.228481599920394629e+00
2.913070197369490799e+01 2.339336326145983591e+01 -7.158120145651280181e+05 -5.228481599920394629e+00
2.566897739944307233e+01 2.937220526809625909e+01 -7.078320924600809813e+05 -5.228481599920394629e+00
2.602060150975150066e+01 2.854981886317040818e+01 -7.051983502052727854e+05 -5.228481599920394629e+00
2.740247018701229464e+01 2.587068300215256045e+01 -7.032290068722608266e+05 -5.228481599920394629e+00
2.550105511939932867e+01 2.956668156300696992e+01 -7.018346026544333436e+05 -5.228481599920394629e+00
2.875039687145688205e+01 2.340387551311095393e+01 -6.901098749506317545e+05 -5.228481599920394629e+00
2.807038860155724080e+01 2.438024239747754507e+01 -6.871695057572266087e+05 -5.228481599920394629e+00
2.709101613621387372e+01 2.580680808698653195e+01 -6.785132488792524673e+05 -5.228481599920394629e+00
2.846783182185464867e+01 2.351861511857828901e+01 -6.761482313764421269e+05 -5.228481599920394629e+00
2.659189652709140006e+01 2.653231334777313322e+01 -6.717572665543318726e+05 -5.228481599920394629e+00
2.546865971879450186e+01 2.868889582361306623e+01 -6.694073507144980831e+05 -5.228481599920394629e+00
2.906034005855878988e+01 2.245791303707686737e+01 -6.667531591793919215e+05 -5.228481599920394629e+00
2.672044438367665364e+01 2.613169960475650200e+01 -6.653442411149953259e+05 -5.228481599920394629e+00
2.781179137620276265e+01 2.426423058952159906e+01 -6.644391599042249145e+05 -5.228481599920394629e+00
2.598121080614064837e+01 2.749810108336329506e+01 -6.643654732470926829e+05 -5.228481599920394629e+00
2.521643948080134123e+01 2.900386338618569226e+01 -6.617501776678351453e+05 -5.228481599920394629e+00
2.779018950700424639e+01 2.417824642944208335e+01 -6.593054904665655922e+05 -5.228481599920394629e+00
2.790179261992877002e+01 2.374943542022588971e+01 -6.483890600565932691e+05 -5.228481599920394629e+00
2.997465270249166025e+01 2.080356127350866657e+01 -6.447951873830618570e+05 -5.228481599920394629e+00
2.613970624092009487e+01 2.652150531112909704e+01 -6.397900607741351705e+05 -5.228481599920394629e+00
2.936324194954362099e+01 2.145133758901457810e+01 -6.382559898693046998e+05 -5.228481599920394629e+00
2.640387139046069365e+01 2.597201545764767161e+01 -6.373628481140621006e+05 -5.228481599920394629e+00
2.853187946341484604e+01 2.250169331473279044e+01 -6.344046391814901726e+05 -5.228481599920394629e+00
