# amplitude duration logL logPrior
2.955161980535108768e+01 2.920506643551705750e+01 -1.494433343735285569e+06 -5.228481599920394629e+00
2.877429652032276763e+01 2.993673124023669985e+01 -1.451299708733843407e+06 -5.228481599920394629e+00
2.924090198836209709e+01 2.833803433282841056e+01 -1.416727970051692566e+06 -5.228481599920394629e+00
2.890287719319266557e+01 2.878572541459892165e+01 -1.405937424620362232e+06 -5.228481599920394629e+00
2.974402896656427231e+01 2.718698405096996495e+01 -1.405182273860822432e+06 -5.228481599920394629e+00
2.991292016393935782e+01 2.685449916280101945e+01 -1.403499732559794793e+06 -5.228481599920394629e+00
2.904668979673975571e+01 2.825307187063579306e+01 -1.392926847839783179e+06 -5.228481599920394629e+00
2.900134971208938950e+01 2.815079977554988488e+01 -1.383158000848189229e+06 -5.228481599920394629e+00
2.777978284658465924e+01 2.954428280752652825e+01 -1.330929566777390894e+06 -5.228481599920394629e+00
2.794416053111639542e+01 2.868330953167109598e+01 -1.306176581262041349e+06 -5.228481599920394629e+00
2.924978364208830328e+01 2.570792864595111382e+01 -1.279633428820638452e+06 -5.228481599920394629e+00
2.749373841287689757e+01 2.900533209457833550e+01 -1.277797314721617848e+06 -5.228481599920394629e+00
2.942864388408011322e+01 2.519754874101947806e+01 -1.268817624739227351e+06 -5.228481599920394629e+00
2.994454252130882210e+01 2.408788441924551904e+01 -1.254409562655800255e+06 -5.228481599920394629e+00
2.887896547398487357e+01 2.586080709441278103e+01 -1.254005374623652082e+06 -5.228481599920394629e+00
2.668214903534345694e+01 2.926659452622806512e+01 -1.212167157535955776e+06 -5.228481599920394629e+00
2.984221395098743557e+01 2.326620976533289564e+01 -1.200705653615584131e+06 -5.228481599920394629e+00
2.682349009251101180e+01 2.863331033949227233e+01 -1.197673616424771724e+06 -5.228481599920394629e+00
2.622338251229409067e+01 2.992274269203883463e+01 -1.196848140693182591e+06 -5.228481599920394629e+00
2.622726361366326842e+01 2.968293774446828692e+01 -1.187153495319446316e+06 -5.228481599920394629e+00
2.685047829503528405e+01 2.820598205523754487e+01 -1.181329684437671909e+06 -5.228481599920394629e+00
2.783665271332361613e+01 2.594027894074197960e+01 -1.165582009033463895e+06 -5.228481599920394629e+00
2.637099994685840088e+01 2.876005566480411701e+01 -1.161493453893325059e+06 -5.228481599920394629e+00
2.614441892714462057e+01 2.921239665441969535e+01 -1.159751095257996581e+06 -5.228481599920394629e+00
2.670015741784925467e+01 2.772292311576189761e+01 -1.146562960232867161e+06 -5.228481599920394629e+00
2.712283993309627306e+01 2.667284048566808252e+01 -1.137284140670908848e+06 -5.228481599920394629e+00
2.914775277200860870e+01 2.309091991336250516e+01 -1.134193269828799414e+06 -5.228481599920394629e+00
2.973558697724622846e+01 2.183887641634280641e+01 -1.114633401034453884e+06 -5.228481599920394629e+00
2.549643895072762234e+01 2.908733405808190753e+01 -1.095871221011459595e+06 -5.228481599920394629e+00
2.581619938016154592e+01 2.805249320169154004e+01 -1.082475799347618129e+06 -5.228481599920394629e+00
2.794755932921872699e+01 2.397327386974366448e+01 -1.081181780517292442e+06 -5.228481599920394629e+00
2.887561978993861089e+01 2.244726061112356774e+01 -1.079451811008760007e+06 -5.228481599920394629e+00
2.771263091938880407e+01 2.414769228465220507e+01 -1.070524898160204524e+06 -5.228481599920394629e+00
2.830335052471601642e+01 2.315576164842372719e+01 -1.069992851326950360e+06 -5.228481599920394629e+00
2.595700161580625220e+01 2.714684463965656747e+01 -1.057462208152611507e+06 -5.228481599920394629e+00
2.696733273056851843e+01 2.516986903761371153e+01 -1.056850243557621958e+06 -5.228481599920394629e+00
2.480069377314764623e+01 2.965605526235122369e+01 -1.055927249489909271e+06 -5.228481599920394629e+00
2.849736118518401184e+01 2.245993721195893400e+01 -1.050806204210372642e+06 -5.228481599920394629e+00
2.527759761691446272e+01 2.790567827165000026e+01 -1.030278258501372067e+06 -5.228481599920394629e+00
2.593190818032947220e+01 2.639717546563102957e+01 -1.024489983437581803e+06 -5.228481599920394629e+00
2.564345789036385526e+01 2.694643626715523865e+01 -1.022978694955204730e+06 -5.228481599920394629e+00
2.701794696398645712e+01 2.427158561085244060e+01 -1.020873641502800398e+06 -5.228481599920394629e+00
2.696695745392019816e+01 2.433738076896643321e+01 -1.019785429493212840e+06 -5.228481599920394629e+00
2.715254377863800173e+01 2.375690223893640862e+01 -1.008309553356584627e+06 -5.228481599920394629e+00
2.434347200902563202e+01 2.931824918288650395e+01 -1.003627211952923331e+06 -5.228481599920394629e+00
2.730893503496420038e+01 2.327796410116225445e+01 -9.986380768706583185e+05 -5.228481599920394629e+00
2.430361523406766722e+01 2.922787530120758959e+01 -9.969538148312350968e+05 -5.228481599920394629e+00
2.479305497797095370e+01 2.795895593373372989e+01 -9.915708301651615184e+05 -5.228481599920394629e+00
2.640446206057532663e+01 2.465075555678680885e+01 -9.892643918001829879e+05 -5.228481599920394629e+00
2.945916479410604438e+01 1.977506923005027772e+01 -9.839947944019909482e+05 -5.228481599920394629e+00
