# amplitude duration logL logPrior
1.922227723673905375e+00 8.367672658814194975e+00 7.824637865067739995e+01 -5.228481599920394629e+00
2.054987816417173985e+00 7.779645831976079506e+00 7.898454485781130074e+01 -5.228481599920394629e+00
2.071233949925790352e+00 6.678163961397047821e+00 8.066619745064899405e+01 -5.228481599920394629e+00
2.098593290070102757e+00 6.742806124263680978e+00 8.196940127634272244e+01 -5.228481599920394629e+00
1.873845132373129330e+00 7.568372613760064205e+00 8.219775988901164965e+01 -5.228481599920394629e+00
1.986878305105748810e+00 6.933982333917527718e+00 8.222806719935351794e+01 -5.228481599920394629e+00
1.880279059181694468e+00 7.512881440667584343e+00 8.224752986829059864e+01 -5.228481599920394629e+00
1.926809029673299589e+00 8.154253063736703666e+00 8.246262168423106687e+01 -5.228481599920394629e+00
1.856302071306566548e+00 8.055986308519416994e+00 8.255652970524243983e+01 -5.228481599920394629e+00
2.097498229680955895e+00 7.303225477082861516e+00 8.267828886791139098e+01 -5.228481599920394629e+00
2.097072037562759839e+00 6.795932323286072219e+00 8.271692823408177730e+01 -5.228481599920394629e+00
1.991457066741925352e+00 7.919969395079828445e+00 8.286423272046873478e+01 -5.228481599920394629e+00
2.100293080986198380e+00 6.818949704810599144e+00 8.289769913048155558e+01 -5.228481599920394629e+00
1.897576062400626817e+00 7.421338860221927014e+00 8.291816469682763113e+01 -5.228481599920394629e+00
1.940083930509192145e+00 7.162058910863017047e+00 8.293535187386770247e+01 -5.228481599920394629e+00
2.079057345997503692e+00 7.431715511310727607e+00 8.293937437453199379e+01 -5.228481599920394629e+00
1.871802684435677211e+00 8.121684209553665212e+00 8.296786613049013681e+01 -5.228481599920394629e+00
1.998448262984633184e+00 7.883602925679513262e+00 8.298585810153628017e+01 -5.228481599920394629e+00
1.956096512792712350e+00 8.042544702445885818e+00 8.303739093421101813e+01 -5.228481599920394629e+00
2.098945003018609867e+00 6.832535240743419891e+00 8.307927659189441272e+01 -5.228481599920394629e+00
1.928578505353057748e+00 7.231982632079175133e+00 8.309828629816783518e+01 -5.228481599920394629e+00
2.013397331825450109e+00 6.895841356519132326e+00 8.311054342211525636e+01 -5.228481599920394629e+00
1.878509790733307705e+00 8.114525973064276698e+00 8.324365057968194037e+01 -5.228481599920394629e+00
1.867898078403609885e+00 8.029165621077115844e+00 8.335475853646711641e+01 -5.228481599920394629e+00
2.043606184017683347e+00 7.633801417329621586e+00 8.338584459996783949e+01 -5.228481599920394629e+00
1.872076604701155222e+00 8.055860590500939722e+00 8.343093109043313405e+01 -5.228481599920394629e+00
1.868476635879851910e+00 7.999154194981846544e+00 8.349948998396205013e+01 -5.228481599920394629e+00
1.946955529537481855e+00 8.041112864856790665e+00 8.354397558654181921e+01 -5.228481599920394629e+00
1.950255480906023742e+00 8.029991507783247329e+00 8.357356248428062884e+01 -5.228481599920394629e+00
1.953779197664075262e+00 8.019371397197424756e+00 8.357662849680556860e+01 -5.228481599920394629e+00
2.065078518726399359e+00 7.484574494391210919e+00 8.361219970010594693e+01 -5.228481599920394629e+00
1.942159499389563670e+00 7.189953316288432816e+00 8.362952860792815102e+01 -5.228481599920394629e+00
2.101150583280011030e+00 7.156829450499574641e+00 8.363006401678455859e+01 -5.228481599920394629e+00
1.934146611998274645e+00 7.233105155430927802e+00 8.364334835262754098e+01 -5.228481599920394629e+00
2.054518193489418110e+00 6.849600420627917075e+00 8.364529983047179940e+01 -5.228481599920394629e+00
2.075962617779192776e+00 7.400410060267795131e+00 8.367904040420278022e+01 -5.228481599920394629e+00
1.877271492314582346e+00 7.692833615411716508e+00 8.368262922440813156e+01 -5.228481599920394629e+00
2.037520179368661033e+00 7.649996806808122329e+00 8.369921897066856786e+01 -5.228481599920394629e+00
1.932170182240674272e+00 8.067226391888709713e+00 8.370777597721867380e+01 -5.228481599920394629e+00
2.060905899106745931e+00 7.506167756311389105e+00 8.370934761452159023e+01 -5.228481599920394629e+00
2.005649278183998518e+00 6.947761983104699723e+00 8.371888827788227161e+01 -5.228481599920394629e+00
1.878754274329953455e+00 7.678921393418453256e+00 8.372658457915531471e+01 -5.228481599920394629e+00
1.896540533173502352e+00 8.098623670566581723e+00 8.372854581085610448e+01 -5.228481599920394629e+00
2.075760607439046890e+00 7.394929066613553204e+00 8.376693333068649849e+01 -5.228481599920394629e+00
1.915588996429903768e+00 7.354416512029019692e+00 8.378647201993454985e+01 -5.228481599920394629e+00
2.103697775970168049e+00 7.061149059473946110e+00 8.379141572532958548e+01 -5.228481599920394629e+00
2.072778308344036091e+00 6.854233817838698783e+00 8.379964771614325514e+01 -5.228481599920394629e+00
1.870838925454425317e+00 7.874931826865002371e+00 8.380983625630148026e+01 -5.228481599920394629e+00
2.071349140631082442e+00 6.854806339882064670e+00 8.381405398907945425e+01 -5.228481599920394629e+00
2.060185199134517031e+00 7.503485518498534290e+00 8.381824829662988918e+01 -5.228481599920394629e+00
1.871266097792163352e+00 7.928289793576455580e+00 8.382915463099595854e+01 -5.228481599920394629e+00
2.083904392290367280e+00 6.876913175584699722e+00 8.392003924865906583e+01 -5.228481599920394629e+00
1.890229878447853951e+00 7.570822273468182040e+00 8.392613578715298672e+01 -5.228481599920394629e+00
1.980024775000379211e+00 7.908271953081333905e+00 8.393391925653284602e+01 -5.228481599920394629e+00
2.086227178718415232e+00 7.288009508515486345e+00 8.394745788820148391e+01 -5.228481599920394629e+00
1.916916358830326628e+00 8.073533121012026470e+00 8.397028502047979259e+01 -5.228481599920394629e+00
1.971311246294929820e+00 7.937692311591942662e+00 8.398404162720632371e+01 -5.228481599920394629e+00
1.936481004136969108e+00 8.038331360013255988e+00 8.400686518872379338e+01 -5.228481599920394629e+00
