# amplitude duration logL logPrior
3.972605208432461232e+00 1.486436089555195572e+01 -2.881617449338394863e+02 -5.228481599920394629e+00
3.770798777994865514e+00 1.579759963286108793e+01 -2.877342503820595994e+02 -5.228481599920394629e+00
3.966682539755508774e+00 1.484096569316352721e+01 -2.872781427268955667e+02 -5.228481599920394629e+00
3.965726203641312786e+00 1.477804804174489206e+01 -2.871741313233752635e+02 -5.228481599920394629e+00
3.798955335927425292e+00 1.500827202859215781e+01 -2.871553212000242183e+02 -5.228481599920394629e+00
3.758255961421061109e+00 1.570210484464242207e+01 -2.867126103396956296e+02 -5.228481599920394629e+00
3.956571397494846209e+00 1.473677879176486627e+01 -2.865305150838428290e+02 -5.228481599920394629e+00
3.892165096861947227e+00 1.543741509684024216e+01 -2.864229425520281893e+02 -5.228481599920394629e+00
3.879432239946801975e+00 1.549513485465526585e+01 -2.863477284877546936e+02 -5.228481599920394629e+00
3.767987375523512039e+00 1.528661027880702328e+01 -2.861664712542495863e+02 -5.228481599920394629e+00
3.816791691265643216e+00 1.569322162637269713e+01 -2.861276945336738891e+02 -5.228481599920394629e+00
3.896330568597502264e+00 1.469502963798191608e+01 -2.860358250465934589e+02 -5.228481599920394629e+00
3.755654613582777746e+00 1.557097460889235663e+01 -2.860332968330084213e+02 -5.228481599920394629e+00
3.867976215867033218e+00 1.476947512043894584e+01 -2.857260012624786896e+02 -5.228481599920394629e+00
3.951233258188509456e+00 1.491789185174870624e+01 -2.856736662726339091e+02 -5.228481599920394629e+00
3.875095132455677049e+00 1.475285034101410453e+01 -2.856647930492616752e+02 -5.228481599920394629e+00
3.885766303719415227e+00 1.543514614130221396e+01 -2.855565349348419204e+02 -5.228481599920394629e+00
3.899032282876044420e+00 1.471069943244434874e+01 -2.855499784257037845e+02 -5.228481599920394629e+00
3.773211444975812068e+00 1.566972920762915500e+01 -2.855292202382831874e+02 -5.228481599920394629e+00
3.766317166301600405e+00 1.537436880337943279e+01 -2.854215966088288496e+02 -5.228481599920394629e+00
3.772795329277611298e+00 1.529652674890807518e+01 -2.853799611917030461e+02 -5.228481599920394629e+00
3.854457312374794498e+00 1.482448194196531333e+01 -2.853733908861321424e+02 -5.228481599920394629e+00
3.774128972852513364e+00 1.528334309732406027e+01 -2.853668637450904271e+02 -5.228481599920394629e+00
3.800294308505638430e+00 1.568064967555558198e+01 -2.853248777774914515e+02 -5.228481599920394629e+00
3.774206829105732020e+00 1.528697488634683488e+01 -2.853113832839297856e+02 -5.228481599920394629e+00
3.809802625062868930e+00 1.566729407063160551e+01 -2.852507885519686397e+02 -5.228481599920394629e+00
3.919982310040327267e+00 1.522106317307929579e+01 -2.852501225372998306e+02 -5.228481599920394629e+00
3.779880414629573249e+00 1.566122732712570276e+01 -2.851716445540538416e+02 -5.228481599920394629e+00
3.769875942116691636e+00 1.535261716127022069e+01 -2.851652698840443918e+02 -5.228481599920394629e+00
3.944259086012083859e+00 1.479614684652798751e+01 -2.851591343693123690e+02 -5.228481599920394629e+00
3.793812754730918169e+00 1.513122710203267296e+01 -2.851519458818663679e+02 -5.228481599920394629e+00
3.936868857402359367e+00 1.506861503020457249e+01 -2.851391372477415871e+02 -5.228481599920394629e+00
3.824862560884222162e+00 1.563441496722664681e+01 -2.851184909663836606e+02 -5.228481599920394629e+00
3.777777990270308361e+00 1.565165746177211048e+01 -2.851161248342905310e+02 -5.228481599920394629e+00
3.857850699633727398e+00 1.482447885847130742e+01 -2.850871122280261716e+02 -5.228481599920394629e+00
3.938939828742485716e+00 1.476556642564362143e+01 -2.850751184847043760e+02 -5.228481599920394629e+00
3.838066991792465910e+00 1.559699786728132231e+01 -2.850196969131771993e+02 -5.228481599920394629e+00
3.833074385725435906e+00 1.560987715027917133e+01 -2.850048012524104024e+02 -5.228481599920394629e+00
3.929787514798802395e+00 1.512618671178334218e+01 -2.849831400863195086e+02 -5.228481599920394629e+00
3.925087868364184551e+00 1.473321351862554707e+01 -2.849663037758316477e+02 -5.228481599920394629e+00
3.799874642310479445e+00 1.510351594613521975e+01 -2.848990698703053113e+02 -5.228481599920394629e+00
3.768257024641134212e+00 1.542624558989937356e+01 -2.848655521774703629e+02 -5.228481599920394629e+00
3.797687426800264276e+00 1.565739155843789021e+01 -2.848606298473494007e+02 -5.228481599920394629e+00
3.769317701731844217e+00 1.557237452918596965e+01 -2.848573169666360627e+02 -5.228481599920394629e+00
