# Tau0 Delta logL logPrior
1.482714740019600619e+01 5.430701096621219914e-01 -2.454586253333222317e+02 -2.708050201102210508e+00
1.442594761151298499e+01 5.300386054880350528e-01 -2.077630871227121361e+02 -2.708050201102210508e+00
1.460588346468190402e+01 5.808808243404575133e-01 -1.799375407398576385e+02 -2.708050201102210508e+00
1.423930647816497519e+01 5.398760872581124248e-01 -1.751038412803611664e+02 -2.708050201102210508e+00
1.412432275734716214e+01 5.309390956890520652e-01 -1.698503319175337083e+02 -2.708050201102210508e+00
1.422815814192674289e+01 5.925949741765967893e-01 -1.309610584284689594e+02 -2.708050201102210508e+00
1.479976276649951572e+01 6.881819892452006870e-01 -1.213522094471234851e+02 -2.708050201102210508e+00
1.353068699405617537e+01 5.126581328657933145e-01 -1.179689294618459030e+02 -2.708050201102210508e+00
1.428709131777265640e+01 6.281033946628080677e-01 -1.129303666188662874e+02 -2.708050201102210508e+00
1.454175163528327097e+01 6.738469140936024226e-01 -1.079176036057830004e+02 -2.708050201102210508e+00
5.382616861373566763e+00 5.306186002023767223e-01 -1.041299674829591453e+02 -2.708050201102210508e+00
1.332692457591601531e+01 5.093589339434947405e-01 -9.871518808011917656e+01 -2.708050201102210508e+00
1.470613095218522659e+01 7.201912714291140993e-01 -9.633545680255261345e+01 -2.708050201102210508e+00
1.431904503058192546e+01 6.706356305793305106e-01 -9.137641317060996471e+01 -2.708050201102210508e+00
5.004008238532936303e+00 6.124437639066192540e-01 -8.842937920429253040e+01 -2.708050201102210508e+00
1.489589946633640771e+01 7.661512652613170493e-01 -8.832563806628434122e+01 -2.708050201102210508e+00
5.683235420569998197e+00 5.250769296945796416e-01 -7.660937737959916660e+01 -2.708050201102210508e+00
1.346572491134223881e+01 5.803665023243366194e-01 -6.811523088098182654e+01 -2.708050201102210508e+00
1.314165276661617199e+01 5.304976644869319191e-01 -6.694506767032663674e+01 -2.708050201102210508e+00
1.318650219171255955e+01 5.398893190611298021e-01 -6.567963948061533586e+01 -2.708050201102210508e+00
1.482803068231025811e+01 8.271919065287181017e-01 -5.903502531286244448e+01 -2.708050201102210508e+00
1.492289386284639541e+01 8.663403241667779753e-01 -5.114936411666685956e+01 -2.708050201102210508e+00
1.403280372875248005e+01 7.153587681471669235e-01 -4.983853438849529738e+01 -2.708050201102210508e+00
1.352801349574607137e+01 6.284287236146853806e-01 -4.980131668042830029e+01 -2.708050201102210508e+00
1.456876433086265266e+01 8.254415218596259374e-01 -4.408784136456407055e+01 -2.708050201102210508e+00
1.474450941689059746e+01 8.646411206507284009e-01 -4.159447155430450493e+01 -2.708050201102210508e+00
5.849924431594325291e+00 5.669607301788563980e-01 -3.854234883076733809e+01 -2.708050201102210508e+00
1.375435644364708665e+01 6.970312506021163479e-01 -3.808183169339474006e+01 -2.708050201102210508e+00
1.499209173461865952e+01 9.256397274993363178e-01 -3.683815019508776345e+01 -2.708050201102210508e+00
1.455673993335708616e+01 8.475033384246223322e-01 -3.639007816940815587e+01 -2.708050201102210508e+00
1.385345046659294610e+01 7.210653845933699957e-01 -3.584522239051960923e+01 -2.708050201102210508e+00
