# Tau0 Delta logL logPrior
7.620185426119976846e+00 1.376196356306114588e+00 1.015099560241969101e+02 -2.708050201102210508e+00
8.504762063819528706e+00 7.207091617634800995e-01 1.021721648915163740e+02 -2.708050201102210508e+00
1.101337327416437262e+01 1.474316838474250435e+00 1.024814301344572272e+02 -2.708050201102210508e+00
9.768664331509736343e+00 5.383335758925613668e-01 1.034848527526705908e+02 -2.708050201102210508e+00
1.093218886033208648e+01 1.933500910632324876e+00 1.035372885101923544e+02 -2.708050201102210508e+00
1.077038590464310452e+01 1.368222365107573335e+00 1.037134300696502720e+02 -2.708050201102210508e+00
8.170095020869402092e+00 1.094842631652173992e+00 1.038036755949421064e+02 -2.708050201102210508e+00
1.083466739114001065e+01 1.871680813746656513e+00 1.039362549592590312e+02 -2.708050201102210508e+00
7.783749298264684313e+00 1.820310313494353904e+00 1.039897414148948513e+02 -2.708050201102210508e+00
1.081762497150112523e+01 1.861322364750507496e+00 1.040064407148255583e+02 -2.708050201102210508e+00
8.995488608186640533e+00 5.541505236620600794e-01 1.040090468368718177e+02 -2.708050201102210508e+00
8.344736927346129818e+00 9.560675497527482136e-01 1.040493396628051386e+02 -2.708050201102210508e+00
7.885598530155432329e+00 1.561797404628767705e+00 1.041073901465146463e+02 -2.708050201102210508e+00
7.872242840290520682e+00 1.678743075504241178e+00 1.042438411979699993e+02 -2.708050201102210508e+00
8.812657364512121561e+00 6.480005591070434612e-01 1.043054613660936525e+02 -2.708050201102210508e+00
1.072288333257380444e+01 1.904952151586624121e+00 1.043366213046784878e+02 -2.708050201102210508e+00
7.896274704109994325e+00 1.696609217661642077e+00 1.043721971245678191e+02 -2.708050201102210508e+00
1.008898329676484273e+01 7.265984592100739325e-01 1.044208611182658615e+02 -2.708050201102210508e+00
7.917108841784644468e+00 1.705712192199859478e+00 1.044714512277572567e+02 -2.708050201102210508e+00
1.029289317238544577e+01 8.909134217386800447e-01 1.045916200068848241e+02 -2.708050201102210508e+00
8.188163616269100942e+00 1.203441466801607351e+00 1.046659511481315121e+02 -2.708050201102210508e+00
8.756583637740623871e+00 7.043942605584233574e-01 1.047531078204994799e+02 -2.708050201102210508e+00
8.072792839298680079e+00 1.419595003742797124e+00 1.047707422068807404e+02 -2.708050201102210508e+00
1.052089043516380151e+01 1.204243805788150601e+00 1.048006516302519771e+02 -2.708050201102210508e+00
8.003000708454012013e+00 1.854295039241261600e+00 1.048248105397951520e+02 -2.708050201102210508e+00
8.202590137477800525e+00 1.219811309288565848e+00 1.048451095962459618e+02 -2.708050201102210508e+00
8.275535580621930620e+00 1.125748560186216052e+00 1.048532216272303970e+02 -2.708050201102210508e+00
8.059722451191730030e+00 1.491937592726768402e+00 1.048624606126028738e+02 -2.708050201102210508e+00
8.013919025139271568e+00 1.798507983079812078e+00 1.048804023556562584e+02 -2.708050201102210508e+00
9.892658916011882297e+00 6.489402627467419915e-01 1.049453667561212455e+02 -2.708050201102210508e+00
8.040344853231816913e+00 1.752657903131851658e+00 1.049833652636993406e+02 -2.708050201102210508e+00
1.058923924956576101e+01 1.529927916153839274e+00 1.049906271238653517e+02 -2.708050201102210508e+00
1.047695005725045370e+01 1.179253219938420916e+00 1.050029991578144291e+02 -2.708050201102210508e+00
1.057168673666163095e+01 1.688669817584153243e+00 1.050472345887309444e+02 -2.708050201102210508e+00
8.807967885425293630e+00 6.924577651111120113e-01 1.050484650547112437e+02 -2.708050201102210508e+00
1.026440245125565198e+01 9.144164584349696590e-01 1.050622340047994783e+02 -2.708050201102210508e+00
8.067160468803956874e+00 1.734796878232776729e+00 1.050845509892550638e+02 -2.708050201102210508e+00
1.050314652129390858e+01 1.878277982636156862e+00 1.050946607482590025e+02 -2.708050201102210508e+00
8.460999252543814464e+00 9.614176418918667366e-01 1.051172796781718830e+02 -2.708050201102210508e+00
8.812112198679944441e+00 6.947138008950984878e-01 1.051221735628716658e+02 -2.708050201102210508e+00
8.147692583607071271e+00 1.402301050542904326e+00 1.051346787688518418e+02 -2.708050201102210508e+00
1.008526242897718106e+01 7.736846337268628027e-01 1.051414052107186166e+02 -2.708050201102210508e+00
1.055346325376629224e+01 1.493223511944285153e+00 1.051440137799131520e+02 -2.708050201102210508e+00
1.054927693396200716e+01 1.530761164232081528e+00 1.051755502519872181e+02 -2.708050201102210508e+00
8.409362027028485898e+00 1.025978159371333964e+00 1.052058694260322369e+02 -2.708050201102210508e+00
1.052324275698714828e+01 1.703993243593755702e+00 1.052211840775519960e+02 -2.708050201102210508e+00
